song_id,song_title,artist,popularity,total_no_streams,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:4wuOxtRDeD9YiQOcmgay7e,Max B,"['A$AP Rocky', 'Joe Fox']",53.00,"1,075,057.00",0.39,0.38,76.28,0.24,0.55,0.00,4.00,0.56,5.00,"241,133.00",-9.54,0.29,1.00
spotify:track:00AoRZ8103mVeOVfpTfGuR,Mayor Que Yo 3,"['Luny Tunes', 'Daddy Yankee', 'Wisin', 'Don Omar', 'Yandel']",5.00,"1,526,593.00",0.96,0.23,92.11,0.22,0.11,0.00,4.00,0.66,1.00,"304,747.00",-3.19,0.55,0.00
spotify:track:7JNh1cfm0eXjqFVOzKLyau,Mayores,"['Becky G', 'Bad Bunny']",77.00,"280,960,035.00",0.86,0.10,96.99,0.04,0.14,0.00,4.00,0.74,5.00,"202,453.00",-3.98,0.87,0.00
spotify:track:7fBUnDgtSvYpYWuX4iAfns,Me & The Rhythm,['Selena Gomez'],54.00,"19,816,053.00",0.74,0.07,106.01,0.10,0.00,0.00,4.00,0.71,7.00,"213,427.00",-5.96,0.72,1.00
spotify:track:41Ypl7Pzkod2H0VlcZH5DS,Me And My Broken Heart,['Rixton'],44.00,"48,622,993.00",0.77,0.26,174.03,0.03,0.01,0.00,4.00,0.55,5.00,"193,975.00",-4.63,0.51,0.00
spotify:track:4r0GVpjSsKSR1biv4fOoa5,Me and Your Mama,['Childish Gambino'],65.00,"7,323,374.00",0.45,0.07,117.99,0.03,0.01,0.05,3.00,0.56,5.00,"379,227.00",-11.87,0.25,1.00
spotify:track:17UUYZ290omPaJY4wKeyHh,Me Dijeron,['Ozuna'],76.00,"33,222,600.00",0.84,0.29,94.02,0.05,0.03,0.00,4.00,0.80,5.00,"170,133.00",-2.82,0.80,0.00
spotify:track:4qknM1pQz53QOyfDVTjcM9,Me Enamoré,['Shakira'],72.00,"135,848,478.00",0.88,0.09,103.71,0.11,0.19,0.00,4.00,0.74,9.00,"226,893.00",-2.25,0.95,0.00
spotify:track:5hEM0JchdVzQ5PwvSfITeX,Me Llamas (feat. Maluma) - Remix,"['Piso 21', 'Maluma']",73.00,"195,407,150.00",0.84,0.07,93.05,0.05,0.55,0.00,4.00,0.76,7.00,"210,323.00",-3.83,0.75,0.00
spotify:track:6jA8JUuPCGYjFcgw0AoM5T,Me Niego,"['Reik', 'Ozuna', 'Wisin']",81.00,"337,326,802.00",0.78,0.64,94.02,0.10,0.05,0.00,4.00,0.78,0.00,"221,653.00",-4.45,0.77,0.00
spotify:track:6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,['Danny Ocean'],82.00,"640,056,355.00",0.80,0.05,104.82,0.07,0.02,0.00,4.00,0.74,1.00,"205,715.00",-6.33,0.43,1.00
spotify:track:1m4dXbkplvaOO4Wbdjbwxs,Me Too,['Meghan Trainor'],38.00,"72,050,715.00",0.69,0.48,123.82,0.10,0.10,0.00,4.00,0.93,11.00,"181,240.00",-5.85,0.84,0.00
spotify:track:40YcuQysJ0KlGQTeGUosTC,"Me, Myself & I","['G-Eazy', 'Bebe Rexha']",77.00,"564,775,200.00",0.67,0.16,112.00,0.10,0.02,0.00,4.00,0.76,0.00,"251,467.00",-6.52,0.38,0.00
spotify:track:7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),"['Bebe Rexha', 'Florida Georgia Line']",84.00,"618,980,681.00",0.78,0.08,154.08,0.09,0.05,0.00,4.00,0.64,10.00,"163,870.00",-6.46,0.58,1.00
spotify:track:4R5xvs5X0phd0EYWyGigju,Medicina,['Anitta'],74.00,"42,290,424.00",0.78,0.15,93.96,0.07,0.04,0.01,4.00,0.80,4.00,"141,508.00",-3.55,0.65,0.00
spotify:track:6FjQDNrlAzhw2REqMVuSpw,Medicine,['The 1975'],48.00,"893,871.00",0.28,0.14,72.73,0.04,0.59,0.31,5.00,0.14,2.00,"352,347.00",-12.65,0.05,1.00
spotify:track:1LcvTvRfWrQjrF6aymfugd,Meer,['Luciano'],67.00,"4,156,714.00",0.64,0.11,160.04,0.25,0.24,0.00,4.00,0.73,8.00,"177,253.00",-6.41,0.60,0.00
spotify:track:4u9Y4Z9i9VaAbBK7rW1Rha,Meet Me in the Hallway,['Harry Styles'],66.00,"5,233,302.00",0.38,0.36,104.25,0.02,0.75,0.00,4.00,0.54,2.00,"227,200.00",-6.53,0.34,1.00
spotify:track:56l2kgLlc4BB4IQKc0DByY,"Meet Me In The Middle - From The ""Fifty Shades Of Grey"" Soundtrack",['Jessie Ware'],29.00,"1,211,068.00",0.29,0.14,122.98,0.03,0.56,0.21,3.00,0.69,9.00,"308,307.00",-9.60,0.28,0.00
spotify:track:5d35jcJj7WjDQBOHCHPY6t,Melodien (feat. Juju),"['Capital Bra', 'Juju']",74.00,"22,016,631.00",0.53,0.09,100.26,0.14,0.08,0.00,4.00,0.75,11.00,"159,518.00",-7.41,0.33,0.00
spotify:track:3OalxlWH0v14kyBcNBMINt,Mercy,['Shawn Mendes'],17.00,"411,232,555.00",0.68,0.11,148.06,0.09,0.11,0.00,4.00,0.56,11.00,"208,733.00",-4.93,0.36,0.00
spotify:track:2qkmPUG7ARsRwhVICQVwQS,Mercy,['Muse'],59.00,"1,440,649.00",0.93,0.31,130.01,0.05,0.01,0.00,4.00,0.48,7.00,"231,973.00",-4.79,0.37,1.00
spotify:track:7lj06ilhZCp5QTMO3nQRAf,Merry Christmas Everyone,['Johnny Newport'],0.00,"1,235,961.00",0.59,0.07,101.60,0.03,0.49,0.00,4.00,0.70,4.00,"221,427.00",-12.12,0.94,1.00
spotify:track:2ISl1zekPsc26sUQpVt8UB,Merry Christmas Everyone - Remastered,"[""Shakin' Stevens""]",18.00,"50,046,662.00",0.91,0.13,203.86,0.04,0.13,0.00,4.00,0.54,9.00,"220,160.00",-3.10,0.96,1.00
spotify:track:2DVmysS5JXqtrNyL5buBR0,Merry Christmas Everyone - Single Version - Re-mastered 2004,"[""Shakin' Stevens""]",67.00,"16,632,980.00",0.91,0.12,101.65,0.03,0.13,0.00,4.00,0.73,4.00,"220,187.00",-3.08,0.96,1.00
spotify:track:15coTBAzEN1bOeipoNDZAR,"Merry Christmas, Happy Holidays",['*NSYNC'],56.00,"12,478,080.00",0.94,0.88,105.00,0.05,0.10,0.00,4.00,0.64,5.00,"255,307.00",-3.97,0.76,1.00
spotify:track:6y4pOReFqH2wzo4CV91cZC,Mess,['Lil Wayne'],63.00,"5,543,367.00",0.58,0.21,145.99,0.09,0.48,0.00,4.00,0.64,9.00,"212,428.00",-8.28,0.42,1.00
spotify:track:7BVwi9cIzSc6tpyxsp47vJ,Mess Is Mine,['Vance Joy'],66.00,"19,564,640.00",0.72,0.10,108.04,0.03,0.05,0.03,1.00,0.60,7.00,"223,640.00",-8.26,0.27,1.00
spotify:track:2XaInsPPUkZRkY4uFJ3AHK,Met Gala (feat. Offset),"['Gucci Mane', 'Offset']",67.00,"6,881,916.00",0.59,0.19,140.06,0.11,0.05,0.00,4.00,0.82,2.00,"209,143.00",-6.50,0.35,1.00
spotify:track:7sFYVcKSb24qg0dAkqLEFj,Mi Cama,['Karol G'],72.00,"72,843,003.00",0.82,0.10,163.07,0.09,0.22,0.00,4.00,0.83,9.00,"151,400.00",-4.77,0.68,1.00
spotify:track:38QmUDpkoYlNbMKvpvAsrE,Mi Cama - Remix,"['Karol G', 'J Balvin', 'Nicky Jam']",76.00,"54,166,392.00",0.78,0.10,162.96,0.07,0.30,0.00,4.00,0.82,9.00,"196,320.00",-4.42,0.83,1.00
spotify:track:2rb5MvYT7ZIxbKW5hfcHx8,Mi Gente,"['J Balvin', 'Willy William']",22.00,"706,648,562.00",0.68,0.13,103.81,0.10,0.01,0.00,4.00,0.54,11.00,"189,440.00",-4.92,0.29,0.00
spotify:track:7fwXWKdDNI5IutOMc5OKYw,Mi Gente (feat. Beyoncé),"['J Balvin', 'Willy William', 'Beyoncé']",19.00,"129,880,923.00",0.71,0.25,105.00,0.08,0.02,0.00,4.00,0.71,11.00,"209,733.00",-6.39,0.43,0.00
spotify:track:116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),"['Bad Bunny', 'Drake']",94.00,"407,682,928.00",0.54,0.10,97.06,0.06,0.01,0.00,4.00,0.82,6.00,"210,368.00",-6.35,0.16,0.00
spotify:track:6bMIExEulvwM2X6zsuiYwr,MiAMi (feat. Gunna),"['Tory Lanez', 'Gunna']",70.00,"4,283,784.00",0.86,0.11,160.07,0.23,0.02,0.00,4.00,0.67,7.00,"244,470.00",-3.40,0.36,1.00
spotify:track:2SYa5Lx1uoCvyDIW4oee9b,MIC Drop,['BTS'],65.00,"3,482,941.00",0.89,0.08,169.96,0.09,0.01,0.00,4.00,0.67,6.00,"238,193.00",-4.85,0.54,1.00
spotify:track:7Ed6BkggCS2KaKY5YlINaF,MIC Drop (feat. Desiigner) [Steve Aoki Remix],"['BTS', 'Desiigner', 'Steve Aoki']",73.00,"50,962,874.00",0.84,0.23,169.92,0.22,0.02,0.00,4.00,0.61,10.00,"238,726.00",-4.33,0.65,0.00
spotify:track:2Fn3coxd0xAZ09JtrgcgHa,Middle,"['DJ Snake', 'Bipolar Sunshine']",11.00,"441,638,949.00",0.75,0.05,104.94,0.04,0.02,0.00,4.00,0.60,9.00,"220,573.00",-4.10,0.21,1.00
spotify:track:2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,['J. Cole'],93.00,"64,630,486.00",0.36,0.27,123.98,0.28,0.15,0.00,4.00,0.84,8.00,"213,594.00",-11.71,0.46,1.00
spotify:track:1GtVGc1UYin3zpMUdNSSpM,Midnight,['Logic'],68.00,"11,411,874.00",0.59,0.10,95.03,0.13,0.09,0.00,4.00,0.57,9.00,"241,427.00",-7.44,0.27,0.00
spotify:track:6uaBPdNeTvL4yH9CVJOg6K,Midnight City,['M83'],32.00,"3,650,867.00",0.71,0.18,105.01,0.04,0.02,0.00,4.00,0.53,11.00,"241,440.00",-6.53,0.32,0.00
spotify:track:5wjmqUGN7vrAqFqDWrywlZ,Midnight Memories,['One Direction'],63.00,"1,095,116.00",0.87,0.23,156.13,0.09,0.01,0.00,4.00,0.43,6.00,"176,320.00",-2.01,0.57,0.00
