Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
2612.0,XXXTENTACION - schizophrenia||../track/5b6zjsBrZCqe6RFycLz2tc.html,1.0,,197.0,,"3,800,373","3,800,373"
2613.0,Taylor Swift - Blank Space||../track/1u8c2t2Cy7UBoG4ArRcF5g.html,1.0,,147.0,,"3,800,289","3,800,289"
2614.0,Maroon 5 - Wait||../track/0SvxydoxEEkXt9aMAqTfpB.html,1.0,,192.0,,"3,797,718","3,797,718"
2615.0,Lorde - Hard Feelings/Loveless||../track/1Dp7JGFNjvg8Nk0CtMCcnr.html,1.0,,157.0,,"3,789,867","3,789,867"
2616.0,Big Sean - Owe Me||../track/1u0MOgWF1bbylVxpJG2ZjB.html,1.0,,137.0,,"3,783,051","3,783,051"
2617.0,Maluma - GPS||../track/3t6j6WNv2OSn6qm5Vxynub.html,1.0,,165.0,,"3,781,901","3,781,901"
2618.0,Sfera Ebbasta - Ricchi x Sempre||../track/0kHTkvGavvk2MjBTSUtOZx.html,1.0,,197.0,,"3,774,345","3,774,345"
2619.0,Big Sean - So Good (& Metro Boomin)||../track/0fWBFDRTIuk8ZgNdZqhCer.html,1.0,,199.0,,"3,752,647","3,752,647"
2620.0,Lil Uzi Vert - No Sleep Leak||../track/0QV16pno66L6K3fn4W13b7.html,1.0,,173.0,,"3,729,844","3,729,844"
2621.0,Drake - Wednesday Night Interlude||../track/6oLHyWvmk6bKrA91EIYZBp.html,2.0,,92.0,,"2,374,155","3,718,712"
2622.0,XXXTENTACION - Ayala (Outro)||../track/5xbrhx2tMMcN68IT3cJbhS.html,1.0,,176.0,,"3,706,781","3,706,781"
2623.0,Logic - Killing Spree||../track/6OQea06z3cbOqYgG2O6eOZ.html,1.0,,157.0,,"3,697,069","3,697,069"
2624.0,Drake - Company||../track/6ImxYXeLDQPIv4qo7bMhSk.html,2.0,,95.0,,"2,311,778","3,696,296"
