,estimator,min_score,mean_score,max_score,std_score,C,activation,alpha,criterion,decision_function_shape,gamma,kernel,learning_rate,max_depth,n_estimators,n_neighbors,solver
101,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.01,,,,ovr,scale,rbf,,,,,
93,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.01,,,,ovo,scale,rbf,,,,,
85,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.0001,,,,ovr,scale,rbf,,,,,
53,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.001,,,,ovr,scale,rbf,,,,,
61,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.0001,,,,ovo,scale,rbf,,,,,
69,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.0001,,,,ovr,scale,rbf,,,,,
45,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.001,,,,ovo,scale,rbf,,,,,
77,SVM balanced weights,0.4392156862745098,0.6525226244343891,0.8627450980392156,0.10337088618876243,0.0001,,,,ovo,scale,rbf,,,,,
65,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.0001,,,,ovr,auto,rbf,,,,,
41,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.001,,,,ovo,auto,rbf,,,,,
73,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.0001,,,,ovo,auto,rbf,,,,,
97,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.01,,,,ovr,auto,rbf,,,,,
81,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.0001,,,,ovr,auto,rbf,,,,,
57,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.0001,,,,ovo,auto,rbf,,,,,
89,SVM balanced weights,0.4392156862745098,0.651738310708899,0.8627450980392156,0.10340935949669315,0.01,,,,ovo,auto,rbf,,,,,
